Category,mean,median,count
Travel,495.1625,229.20499999999998,4
Science Fiction,448.50250000000005,228.32,4
Historical,394.63,223.875,4
Historical Fiction,390.055,226.3,4
Adult Fiction,389.58750000000003,229.09,4
Erotica,388.5625,220.79500000000002,4
Horror,388.0375,225.99,4
History,387.86,226.32999999999998,4
Cultural,383.8125,221.625,4
Sequential Art,381.9225,228.21,4
Childrens,381.02750000000003,228.1,4
Food and Drink,378.4,239.3,4
Romance,378.145,234.795,4
Default,378.0425,227.06,4
Young Adult,374.33,225.115,4
Fantasy,373.835,236.37,4
Nonfiction,373.8325,233.91500000000002,4
Philosophy,371.67499999999995,223.32,4
Academic,367.13,219.14499999999998,4
Business,365.21250000000003,224.67000000000002,4
Politics,363.46,224.93,4
Novels,361.02,224.41000000000003,4
Science,360.24,224.54000000000002,4
Humor,360.1325,230.14999999999998,4
Mystery,359.72499999999997,230.65,4
Fiction,359.36,237.91000000000003,4
Art,358.47749999999996,224.95,4
Parenting,358.4675,235.68,4
Crime,358.015,216.47500000000002,4
Suspense,357.39250000000004,219.64,4
Womens Fiction,356.8025,227.97000000000003,4
Music,355.4325,229.32999999999998,4
Thriller,354.85749999999996,226.45,4
Psychology,354.705,220.36,4
Sports and Games,354.6825,217.20999999999998,4
Christian Fiction,354.63,231.65,4
Biography,354.35,220.44,4
Spirituality,354.1875,228.075,4
Christian,354.16,220.075,4
Contemporary,354.04,223.20499999999998,4
Classics,353.5575,224.99,4
New Adult,353.52,221.985,4
Autobiography,352.67999999999995,224.305,4
Poetry,351.195,224.2,4
Self Help,351.1,222.315,4
Paranormal,349.645,220.20499999999998,4
Health,348.1875,223.23499999999999,4
Religion,347.815,224.89,4
Short Stories,342.3025,221.765,4
